mean,std,skewness,max,min,range,psd_sum,psd_max,majority_activity,participant
11.73644423742016,5.091532752444131,0.5434800642839728,30.089940661290772,1.4277587516453891,28.662181909645383,132.90247633835207,20.655852858622897,walking,1
11.782961442935855,5.057029040211232,0.5344499202255315,30.089940661290772,1.955203505213716,28.134737156077055,130.90828261334053,20.76154978927532,walking,1
11.766262256195226,5.028216421687536,0.5241251760046489,30.089940661290772,1.955203505213716,28.134737156077055,129.09925152653165,20.517201143691576,walking,1
11.740971445624131,5.020599403850141,0.538270843493089,30.089940661290772,1.955203505213716,28.134737156077055,130.03867873222035,20.773803909206666,walking,1
11.706258873475289,5.005545984029325,0.5345542885385105,29.46082091524267,1.955203505213716,27.505617410028954,126.98316068264971,20.958660046786488,walking,1
11.71401256916585,4.969655684795611,0.49902889359991043,29.46082091524267,1.955203505213716,27.505617410028954,127.81371472901053,20.68778371667632,walking,1
11.703787440802266,4.988417909439537,0.49957733431777035,29.46082091524267,1.955203505213716,27.505617410028954,129.35560004750283,20.74019700156514,walking,1
11.7457801824721,5.00993670981382,0.48081927277937897,29.46082091524267,1.955203505213716,27.505617410028954,127.84986788753112,20.82204334554693,walking,1
11.783950918282226,5.046233801078575,0.48135280406269376,29.46082091524267,1.955203505213716,27.505617410028954,129.20373667734236,20.577851876065377,walking,1
11.735514008081598,5.046551189746877,0.4856189328537174,29.46082091524267,1.955203505213716,27.505617410028954,128.93515324067226,20.61760738616057,walking,1
11.724237664558474,5.046821555424148,0.4644232570572682,29.46082091524267,1.955203505213716,27.505617410028954,130.44396404310004,20.434731162481494,walking,1
11.73013275859667,5.045065346014158,0.4686768086985471,29.46082091524267,2.114710654368583,27.346110260874088,130.44751253797847,20.261251315918912,walking,1
11.736159567430516,4.987122984734388,0.4453074254276705,28.25061250663426,2.114710654368583,26.135901852265675,128.33919225736287,20.51577337632862,walking,1
11.781951656837332,4.969838591541377,0.423584863940299,28.25061250663426,2.114710654368583,26.135901852265675,129.62673995863875,20.49352798315594,walking,1
11.773354525854314,4.957448875799243,0.4333176879439276,28.25061250663426,2.114710654368583,26.135901852265675,128.13828469679518,20.4458341926992,walking,1
11.74521396719057,4.965197959950834,0.44357015378364567,28.25061250663426,2.114710654368583,26.135901852265675,128.04744115293533,20.380259411187765,walking,1
11.724160145947357,4.9533081026454076,0.44884882571954127,28.25061250663426,2.148839383132206,26.101773123502053,128.0681014915488,20.23030617230477,walking,1
11.738720639197098,4.966169303591022,0.44828489131811744,28.25061250663426,2.148839383132206,26.101773123502053,127.28773665911359,20.262723710994486,walking,1
11.735799320352317,4.954784395454642,0.4476638589979491,28.25061250663426,2.148839383132206,26.101773123502053,127.82289496016448,20.0917405286086,walking,1
11.771457781806246,4.9469533025129415,0.437649343087831,28.25061250663426,2.148839383132206,26.101773123502053,126.38696984739265,20.046097163421702,walking,1
11.818785805921713,4.984593171300583,0.45200358944202257,28.25061250663426,2.148839383132206,26.101773123502053,125.84454146997233,20.13030292784647,walking,1
11.759423360086734,4.98182343540396,0.4664416056656066,28.25061250663426,2.148839383132206,26.101773123502053,125.8141083666845,20.242469078024325,walking,1
11.737572432806958,4.986509634257437,0.47998001486166636,28.25061250663426,2.47760331820895,25.77300918842531,123.4546728018307,20.432250516046725,walking,1
11.720929250039699,4.957004919911454,0.46613704282869645,28.25061250663426,2.47760331820895,25.77300918842531,123.88887894907735,20.511373605809442,walking,1
11.729348883424192,4.919871166202944,0.44125676718574236,27.331270259539718,2.47760331820895,24.85366694133077,125.1135159733582,20.695274362210068,walking,1
11.750624429981205,4.905258036737695,0.45461220039950057,27.331270259539718,2.47760331820895,24.85366694133077,122.21889392659045,20.63074212455769,walking,1
11.758187776636023,4.870068354968209,0.4350272732725893,27.331270259539718,2.47760331820895,24.85366694133077,122.09309177164133,20.531390677882165,walking,1
11.703285251210094,4.839087704966917,0.4341102027281098,27.331270259539718,2.354811578449537,24.97645868109018,123.18962294317213,20.546575567839174,walking,1
11.661158334203432,4.852286090061537,0.4283148875292151,27.331270259539718,2.354811578449537,24.97645868109018,122.6669299615368,20.506995490173733,walking,1
11.656454344962857,4.8377084577405025,0.414450079801716,27.331270259539718,2.354811578449537,24.97645868109018,122.70133553836726,20.48005088480583,walking,1
11.670256539571904,4.8645156577472815,0.4339088640768433,28.29899328598104,2.354811578449537,25.944181707531506,121.36606378682227,20.47697661133829,walking,1
11.720308250957485,4.859186438624337,0.4117756856611736,28.29899328598104,2.354811578449537,25.944181707531506,121.61362703287553,20.499454889141234,walking,1
11.715018054396397,4.904400058453579,0.41259726124007357,28.29899328598104,2.354811578449537,25.944181707531506,121.39098410853572,20.342110515945617,walking,1
11.67863535074338,4.893940006582116,0.4212156511813651,28.29899328598104,2.354811578449537,25.944181707531506,119.61519000077145,20.149813973443113,walking,1
11.670583181745815,4.890088476677084,0.3969698782698963,28.29899328598104,1.955323037889136,26.343670248091904,121.37930204938658,20.063674652157044,walking,1
11.65377027562727,4.845856659165471,0.38001473149697557,28.29899328598104,1.955323037889136,26.343670248091904,119.75487404455468,20.123582679542412,walking,1
11.68733465677165,4.833166110834141,0.3986549458109314,28.29899328598104,1.955323037889136,26.343670248091904,119.85091113720546,20.127223805718163,walking,1
11.71559132731599,4.832536802096438,0.38502834789904694,28.29899328598104,1.955323037889136,26.343670248091904,120.17315080039324,19.92969982314416,walking,1
11.675847426413366,4.8194322840414205,0.3944227573539851,28.29899328598104,1.955323037889136,26.343670248091904,118.65621807120125,19.81483577863407,walking,1
